word,n
guys,351
hold,351
starting,351
history,350
running,350
tech,350
cover,349
cross,349
student,349
recover,348
strong,348
facemask,347
sharing,347
waiting,347
idea,346
recently,346
cancer,345
claims,345
watching,345
website,345
front,343
i’ve,343
remain,343
russian,343
stupid,343
suffering,343
23,342
uae,342
buy,341
class,341
click,341
short,341
31,340
complete,340
facing,340
isn’t,340
september,340
giving,338
allowed,337
insurance,337
reminder,337
sense,337
forward,336
strategy,336
funding,335
trial,335
sa,334
takes,334
tonight,334
wow,334
billion,333
facebook,333
message,332
heard,331
wi,331
didn’t,330
physical,330
track,330
war,330
agree,329
customers,329
democrats,329
administration,328
feeling,328
leading,328
playing,328
difficult,327
drug,327
impacted,327
trumpvirus,327
ceo,326
episode,326
georgia,326
music,326
page,326
statistics,326
tuesday,326
view,326
break,325
happen,325
ppl,325
protest,325
wake,325
worth,325
2nd,324
mlb,324
law,323
rajasthan,323
win,323
center,322
analysis,321
ha,321
ireland,321
germany,320
here’s,320
protests,320
registered,320
interview,319
paper,319
passed,319
thailand,318
korea,317
piece,317
amount,316
download,316
failed,316
reality,316
training,316
whitehouse,316
calls,315
france,315
guidance,315
review,315
republicans,314
york,314
cities,313
killing,313
light,313
nursing,313
shit,313
thursday,313
answer,312
attention,312
drive,311
late,310
offer,310
dangerous,309
shares,309
al,308
politics,308
facilities,307
planning,307
retweet,307
union,307
blame,306
building,306
mandatory,306
sarscov2,306
treat,306
nice,305
practice,305
auspol,303
handling,302
imagine,302
released,302
society,302
stayhome,302
stress,302
additional,301
address,301
concerns,301
step,301
border,300
fuck,300
catch,299
dies,299
press,299
april,298
failure,298
conference,297
june,297
supply,297
calling,296
fast,296
hour,296
lies,296
nature,296
responsible,296
cured,295
nurses,295
players,295
severe,295
daughter,294
facemasks,294
fake,294
guy,294
battle,293
church,293
massive,293
personal,293
brought,292
clean,292
phone,292
protection,292
won’t,292
force,291
entire,290
events,290
excellent,290
expected,290
red,290
systems,290
amitshah,288
donald,288
governments,288
guess,288
held,288
impacts,288
there’s,288
effect,287
fun,287
60,286
supporting,286
importance,285
include,285
published,285
icymi,283
london,283
authorities,282
putting,282
rights,281
yo,281
folks,280
italy,280
lab,280
quick,280
recession,280
maskup,279
aid,278
prevention,278
income,277
mortality,277
cdcgov,276
frontline,276
marketing,276
moment,276
sending,276
chance,275
talks,275
viral,275
covering,274
struggling,274
tourism,274
hot,273
lessons,273
pa,273
restaurants,273
growing,272
middle,271
threat,271
town,271
benefits,270
fund,270
happened,270
adults,269
2019,268
announces,268
release,268
era,267
words,267
bit,266
fatalities,265
icu,265
levels,265
reading,265
35,264
mentalhealth,264
race,264
register,264
request,264
stories,264
guide,263
shop,263
solution,263
tax,263
world's,263
drop,262
nov,262
safely,262
stage,262
studies,262
west,262
cut,261
largest,261
weekly,261
expect,260
fo,260
gonna,260
johnson,260
newzealand,260
steps,260
victims,260
court,259
risks,259
2021,258
aged,258
returning,258
senatemajldr,258
discussion,257
fucking,257
helps,257
nyc,257
80,256
beat,256
exposed,256
nz,256
bc,255
positivity,255
success,255
chart,254
edt,254
philippines,254
store,254
super,254
providing,253
significant,253
tv,253
period,252
senate,252
disaster,251
lockdowns,251
prime,251
region,251
anxiety,250
enjoy,250
required,250
sales,250
added,249
approved,249
asymptomatic,249
covid__19,249
maintain,249
paid,249
protecting,249
received,249
delivery,248
globally,248
model,248
moving,248
price,248
tot,248
abo,247
admitted,247
lowest,247
approach,246
outbreaks,246
realdonaldtrump's,246
shopping,246
explain,245
figures,245
japan,245
pretty,245
push,245
200,244
beginning,244
combat,244
decided,244
eat,244
pray,244
central,243
lower,243
maga,243
mumbai,243
pr,243
stats,243
telling,243
what’s,243
05,242
car,242
freedom,242
senior,242
absolutely,241
awareness,241
damn,241
final,241
hell,241
worry,241
"1,000",240
launched,240
progress,240
speaking,240
trends,240
build,239
covid19india,239
ho,239
lord,239
solutions,239
teams,239
energy,238
he’s,238
internet,238
session,238
ill,237
lose,237
reached,237
vietnam,237
linked,236
pmoindia,236
warns,236
false,235
speak,235
fine,234
prepare,234
survive,234
african,233
develop,233
staying,233
concerned,232
exams,232
ma,232
road,232
site,232
facility,231
flights,231
inside,231
modi,231
opinion,231
quality,231
terrible,231
trade,231
counted,230
fatality,230
holiday,230
"100,000",229
arizona,229
shared,229
02,228
individuals,228
word,228
45,227
600,227
bank,227
manage,227
tracker,227
70,226
innovation,226
rural,226
trend,226
we’ve,226
housing,225
note,225
ongoing,225
smart,225
workplace,225
3rd,224
detected,224
elderly,224
hate,224
infectious,224
space,224
warning,224
account,223
ji,223
tough,223
add,222
managing,222
medicine,222
petition,222
violence,222
ab,221
package,221
politicians,221
conversation,220
speakerpelosi,220
colleges,219
conspiracy,219
customer,219
hrs,219
majority,219
misinformation,219
missed,219
difference,218
eu,218
perfect,218
assam,217
bbnaija,217
blm,217
fda,217
wh,217
world’s,217
extended,216
hundreds,216
precautions,216
wuhan,216
launch,215
mother,215
nygovcuomo,215
pro,215
professor,215
vital,215
wednesday,215
changing,214
design,214
earlier,214
la,214
lie,214
melbourne,214
vp,214
crazy,213
joke,213
minutes,213
ontario,213
signs,213
stands,213
worried,213
90,212
bjp,212
completely,212
extra,212
busy,211
couple,211
blacklivesmatter,210
concern,210
corruption,210
hearing,210
hospitalizations,210
ne,210
park,210
process,210
sweden,210
persons,209
auckland,208
beach,208
beautiful,208
earlyvoting,208
camp,207
capacity,207
claim,207
mayor,207
pcr,207
street,207
voting,207
boris,206
choose,206
dealing,206
e.g,206
funny,206
israel,206
mexico,206
scientific,206
australian,205
conditions,205
dm,205
passengers,205
plandemic,205
rally,205
cold,204
girls,204
illness,204
losing,204
mail,204
partners,204
volunteers,204
dont,203
lots,203
mild,203
offers,203
officer,203
organizations,203
pushing,203
singh,203
1000,202
board,202
bulletin,202
challenging,202
crossed,202
obesity,202
diseases,201
flight,201
partner,201
radio,201
republican,201
sanitizer,201
shown,201
decisions,200
hong,200
kenya,200
lol,200
mobile,200
photo,200
they’re,200
affect,199
receive,199
retail,199
round,199
ur,199
yeah,199
ban,198
cancelled,198
east,198
products,198
quickly,198
wise,198
bars,197
hyderabad,197
remains,197
streets,197
tells,197
walk,197
worker,197
curve,196
epidemic,196
excited,196
helped,196
indigenous,196
500,195
excess,195
fans,195
trump’s,195
baby,194
featured,194
funds,194
robert,194
cash,193
discusses,193
nurse,193
ohio,193
pop,193
restaurant,193
spending,193
actions,192
alcohol,192
aren’t,192
hospitalized,192
investment,192
mp,192
successful,192
teacher,192
brexit,191
executive,191
responsibility,191
apply,190
capital,190
drtedros,190
everyday,190
scams,190
spend,190
urgent,190
asia,189
crucial,189
donate,189
letter,189
markets,189
photography,189
rs,189
song,189
stimulus,189
today’s,189
wife,189
foreign,188
india’s,188
insights,188
kerala,188
provided,188
climate,187
cruise,187
exposure,187
games,187
nose,187
rich,187
shops,187
uganda,187
wondering,187
british,186
effort,186
hcq,186
hongkong,186
november,186
son,186
boost,185
hygiene,185
improve,185
learned,185
celebrate,184
chennai,184
finance,184
glad,184
offering,184
oil,184
respond,184
stock,184
understanding,184
universities,184
aka,183
choice,183
domestic,183
father,183
gates,183
legal,183
mess,183
operations,183
trending,183
damage,182
respect,182
centres,181
google,181
listening,181
southafrica,181
spent,181
basic,180
gold,180
organization,180
percent,180
professional,180
tamilnadu,180
wa,180
2000,179
begins,179
eod,179
opportunities,179
prayers,179
singapore,179
activities,178
cough,178
developing,178
explains,178
fair,178
kong,178
production,178
prof,178
reveals,178
straight,178
briefing,177
chain,177
demands,177
main,177
se,177
strategies,177
begin,176
double,176
earth,176
edition,176
nytimes,176
posted,176
prepared,176
rent,176
assistance,175
beds,175
colleagues,175
compared,175
fr,175
green,175
priority,175
quarter,175
costs,174
golf,174
meat,174
mouth,174
poverty,174
06,173
environment,173
form,173
multiple,173
panel,173
simply,173
touch,173
tune,173
amazon,172
contract,172
council,172
delivered,172
employers,172
teaching,172
artist,171
deep,171
highlights,171
hr,171
lt,171
coverings,170
limited,170
province,170
bbcnews,169
da,169
malaysia,169
peace,169
unprecedented,169
usps,169
300,168
condition,168
districts,168
joined,168
matters,168
paying,168
peak,168
regional,168
secretary,168
thehill,168
tired,168
actual,167
airport,167
apparently,167
ar,167
bet,167
campus,167
civil,167
discussing,167
platform,167
publichealth,167
shutdown,167
trace,167
bbc,166
drugs,166
existing,166
fellow,166
finding,166
humanity,166
kills,166
nations,166
p.m,166
raise,166
stopped,166
tha,166
transport,166
04,165
amidst,165
authorize,165
fraud,165
natural,165
reasons,165
resilience,165
statement,165
wearadamnmask,165
bed,164
explore,164
nationwide,164
sites,164
starts,164
washing,164
activity,163
antibodies,163
exam,163
grant,163
john,163
movie,163
spoke,163
antibody,162
committee,162
communication,162
fit,162
focused,162
ganjam,162
herd,162
nfl,162
notice,162
ny,162
policies,162
storm,162
suspected,162
association,161
brain,161
consequences,161
knowledge,161
military,161
network,161
personnel,161
reduced,161
sleep,161
totally,161
wide,161
cas,160
coronavirusindia,160
gatherings,160
govrondesantis,160
imported,160
mo,160
movement,160
shame,160
birthday,159
brand,159
charge,159
cumulative,159
cybersecurity,159
employee,159
includes,159
minute,159
powerful,159
professionals,159
racism,159
shah,159
tool,159
toronto,159
wishing,159
bus,158
canadian,158
con,158
cool,158
grow,158
highly,158
suggests,158
tracking,158
coverage,157
foxnews,157
immediately,157
lakhs,157
literally,157
lying,157
perspective,157
played,157
regular,157
respiratory,157
resume,157
treating,157
culture,156
drrpnishank,156
feet,156
hiv,156
mandate,156
matthancock,156
owners,156
require,156
shift,156
situations,156
telehealth,156
viruses,156
wef,156
congratulations,155
fee,155
issued,155
officially,155
prison,155
station,155
ad,154
arrested,154
aware,154
benefit,154
climatechange,154
credit,154
eyes,154
feels,154
figure,154
host,154
missing,154
sadly,154
scared,154
thousand,154
wonderful,154
2019ncov,153
initiative,153
kashmir,153
mom,153
programs,153
shot,153
spot,153
task,153
tweets,153
wellbeing,153
banks,152
caught,152
channel,152
dedicated,152
dog,152
employment,152
humans,152
ideas,152
increases,152
institute,152
justice,152
poll,152
prices,152
affecting,151
attack,151
blue,151
ccp,151
counties,151
hits,151
indonesia,151
map,151
pandemics,151
scotland,151
uncertainty,151
ass,150
consumer,150
continued,150
creating,150
debt,150
direct,150
eating,150
eye,150
gender,150
kamalaharris,150
pharma,150
postponed,150
protesters,150
ri,150
supposed,150
artists,149
cluster,149
decline,149
lebanon,149
lock,149
madhya,149
mention,149
pressure,149
protocols,149
san,149
semester,149
serve,149
speedy,149
color,148
duty,148
european,148
supplies,148
zoom,148
depression,147
di,147
instagram,147
reaches,147
you’ve,147
"50,000",146
amit,146
corporate,146
german,146
handle,146
ignore,146
im,146
nsw,146
proper,146
providers,146
refuse,146
saving,146
spanish,146
bihar,145
cleaning,145
dogs,145
iran,145
milestone,145
train,145
unique,145
washington,145
32,144
afraid,144
baseball,144
berlin,144
confirms,144
elections,144
email,144
exercise,144
faster,144
land,144
nba,144
picture,144
profit,144
protective,144
rep,144
revealed,144
adapt,143
cares,143
china's,143
continuing,143
experiencing,143
extend,143
film,143
gdp,143
ground,143
limit,143
previous,143
surprise,143
te,143
temple,143
thi,143
vladimir,143
caring,142
dashboard,142
delay,142
extremely,142
sturgis,142
summary,142
weather,142
winning,142
wit,142
awesome,141
cancel,141
contracted,141
fitness,141
pune,141
punjab,141
raising,141
signed,141
wedding,141
y’all,141
agenda,140
ap,140
brings,140
covidiot,140
holding,140
labs,140
practices,140
proven,140
smell,140
therapy,140
videos,140
"170,000",139
agency,139
borders,139
designed,139
fewer,139
rule,139
sounds,139
wo,139
accurate,138
announce,138
attend,138
capita,138
club,138
commission,138
contacts,138
correct,138
crore,138
experiences,138
female,138
field,138
isolate,138
october,138
racist,138
ram,138
realize,138
resource,138
target,138
52,137
allowing,137
dad,137
door,137
fantastic,137
ghana,137
hopkins,137
li,137
outdoor,137
parties,137
primary,137
taiwan,137
appears,136
backtoschool,136
broke,136
causing,136
construction,136
diagnosed,136
hair,136
houston,136
portland,136
projects,136
properly,136
schoolsreopening,136
speed,136
western,136
winter,136
andhrapradesh,135
bangladesh,135
boy,135
brilliant,135
mid,135
mohfw_india,135
ou,135
pe,135
proof,135
pubs,135
urge,135
whatsapp,135
"10,000",134
corrupt,134
dropped,134
excuse,134
insight,134
shri,134
skynews,134
tools,134
annual,133
cent,133
comment,133
english,133
enter,133
girl,133
government's,133
gyms,133
incompetent,133
indoor,133
le,133
ncdcgov,133
product,133
setting,133
code,132
commercial,132
falling,132
island,132
johns,132
pain,132
pls,132
scale,132
stayathome,132
tackle,132
traffic,132
09,131
affordable,131
democrat,131
festival,131
gavinnewsom,131
gym,131
informed,131
leaving,131
newly,131
obama,131
sale,131
selling,131
speaks,131
trip,131
abc,130
bless,130
comments,130
curb,130
david,130
fears,130
findings,130
flying,130
ganesh,130
independent,130
kits,130
option,130
po,130
scam,130
stuff,130
wales,130
billgates,129
closer,129
conduct,129
ensuring,129
entry,129
equipment,129
headlines,129
jump,129
position,129
qatar,129
reuters,129
seeking,129
vijayawada,129
waste,129
wrote,129
bubble,128
bullshit,128
closing,128
counting,128
deserve,128
hurt,128
kindly,128
knowing,128
panic,128
prior,128
screening,128
socially,128
unemployed,128
coronavirusoutbreak,127
creative,127
easier,127
january,127
managed,127
people's,127
positives,127
similar,127
star,127
teach,127
terms,127
36,126
alive,126
don,126
expenses,126
fro,126
michigan,126
ministers,126
moved,126
prayer,126
regularly,126
responses,126
spreads,126
"150,000",125
48,125
affairs,125
breakingnews,125
collaboration,125
connect,125
cope,125
donation,125
doubt,125
favorite,125
fl,125
heroes,125
hospitality,125
hurricane,125
identified,125
manager,125
msnbc,125
partnership,125
programme,125
sex,125
silver,125
upcoming,125
walking,125
write,125
airlines,124
arrived,124
coach,124
criminal,124
decide,124
haven’t,124
lagos,124
supported,124
temporary,124
warned,124
written,124
zone,124
