state,target,long,lat,group,order,month
Alabama,8,-87.462005615234375,30.389680862426758,1,1,NA
Alabama,8,-87.48493194580078,30.37249183654785,1,2,NA
Alabama,8,-87.52503204345703,30.37249183654785,1,3,NA
Alabama,8,-87.53076171875,30.332386016845703,1,4,NA
Alabama,8,-87.57086944580078,30.3266544342041,1,5,NA
Alabama,8,-87.58805847167969,30.3266544342041,1,6,NA
Alabama,8,-87.59378814697266,30.309467315673828,1,7,NA
Alabama,8,-87.59378814697266,30.286548614501953,1,8,NA
Alabama,8,-87.67400360107422,30.275089263916016,1,9,NA
Alabama,8,-87.81151580810547,30.257902145385742,1,10,NA
Alabama,8,-87.88026428222656,30.246440887451172,1,11,NA
Alabama,8,-87.92037200927734,30.246440887451172,1,12,NA
Alabama,8,-87.95475006103516,30.246440887451172,1,13,NA
Alabama,8,-88.006317138671875,30.240713119506836,1,14,NA
Alabama,8,-88.01777648925781,30.25217056274414,1,15,NA
Alabama,8,-88.01204681396484,30.269359588623047,1,16,NA
Alabama,8,-87.99485778808594,30.275089263916016,1,17,NA
Alabama,8,-87.95475006103516,30.275089263916016,1,18,NA
Alabama,8,-87.90318298339844,30.280820846557617,1,19,NA
Alabama,8,-87.82869720458984,30.286548614501953,1,20,NA
Alabama,8,-87.80005645751953,30.286548614501953,1,21,NA
Alabama,8,-87.80005645751953,30.3266544342041,1,22,NA
Alabama,8,-87.8172378540039,30.34384536743164,1,23,NA
Alabama,8,-87.84015655517578,30.383953094482422,1,24,NA
Alabama,8,-87.85162353515625,30.401142120361328,1,25,NA
Alabama,8,-87.8745346069336,30.412599563598633,1,26,NA
Alabama,8,-87.90318298339844,30.424060821533203,1,27,NA
Alabama,8,-87.92610168457031,30.446979522705078,1,28,NA
Alabama,8,-87.93183135986328,30.492813110351563,1,29,NA
Alabama,8,-87.94329071044922,30.527193069458008,1,30,NA
Alabama,8,-87.92037200927734,30.561569213867188,1,31,NA
Alabama,8,-87.914642333984375,30.584487915039063,1,32,NA
Alabama,8,-87.92610168457031,30.618864059448242,1,33,NA
Alabama,8,-87.92037200927734,30.67043113708496,1,34,NA
Alabama,8,-87.94902038574219,30.699077606201172,1,35,NA
Alabama,8,-87.98912811279297,30.790752410888672,1,36,NA
Alabama,8,-88.006317138671875,30.79648208618164,1,37,NA
Alabama,8,-88.01777648925781,30.802209854125977,1,38,NA
Alabama,8,-88.03496551513672,30.790752410888672,1,39,NA
Alabama,8,-88.04642486572266,30.756376266479492,1,40,NA
Alabama,8,-88.052154541015625,30.727725982666016,1,41,NA
Alabama,8,-88.052154541015625,30.710538864135742,1,42,NA
Alabama,8,-88.06360626220703,30.687620162963867,1,43,NA
Alabama,8,-88.06934356689453,30.681888580322266,1,44,NA
Alabama,8,-88.08080291748047,30.630325317382813,1,45,NA
Alabama,8,-88.08080291748047,30.613136291503906,1,46,NA
Alabama,8,-88.097991943359375,30.607406616210938,1,47,NA
Alabama,8,-88.10944366455078,30.595945358276367,1,48,NA
Alabama,8,-88.11518096923828,30.584487915039063,1,49,NA
Alabama,8,-88.10944366455078,30.555837631225586,1,50,NA
Alabama,8,-88.12091064453125,30.481355667114258,1,51,NA
Alabama,8,-88.12091064453125,30.441247940063477,1,52,NA
Alabama,8,-88.12664031982422,30.389680862426758,1,53,NA
Alabama,8,-88.13236999511719,30.361034393310547,1,54,NA
Alabama,8,-88.143829345703125,30.34384536743164,1,55,NA
Alabama,8,-88.16101837158203,30.338115692138672,1,56,NA
Alabama,8,-88.17247772216797,30.338115692138672,1,57,NA
Alabama,8,-88.18965911865234,30.355304718017578,1,58,NA
Alabama,8,-88.22404479980469,30.378223419189453,1,59,NA
Alabama,8,-88.2354965209961,30.395410537719727,1,60,NA
Alabama,8,-88.28706359863281,30.401142120361328,1,61,NA
Alabama,8,-88.31571197509766,30.401142120361328,1,62,NA
Alabama,8,-88.33290100097656,30.401142120361328,1,63,NA
Alabama,8,-88.35009765625,30.424060821533203,1,64,NA
Alabama,8,-88.39020538330078,30.412599563598633,1,65,NA
Alabama,8,-88.40738677978516,30.733457565307617,1,66,NA
Alabama,8,-88.4188461303711,30.99701690673828,1,67,NA
Alabama,8,-88.43030548095703,31.12306785583496,1,68,NA
Alabama,8,-88.4532241821289,31.432466506958008,1,69,NA
Alabama,8,-88.46468353271484,31.696025848388672,1,70,NA
Alabama,8,-88.47614288330078,31.89082908630371,1,71,NA
Alabama,8,-88.43030548095703,32.22314453125,1,72,NA
Alabama,8,-88.43030548095703,32.30908966064453,1,73,NA
Alabama,8,-88.39020538330078,32.5783805847168,1,74,NA
Alabama,8,-88.35009765625,32.92215347290039,1,75,NA
Alabama,8,-88.33863067626953,32.98517990112305,1,76,NA
Alabama,8,-88.29853057861328,33.283119201660156,1,77,NA
Alabama,8,-88.275604248046875,33.52949142456055,1,78,NA
Alabama,8,-88.25269317626953,33.735755920410156,1,79,NA
Alabama,8,-88.20685577392578,34.062339782714844,1,80,NA
Alabama,8,-88.20685577392578,34.07952880859375,1,81,NA
Alabama,8,-88.1839370727539,34.3144416809082,1,82,NA
Alabama,8,-88.166748046875,34.463409423828125,1,83,NA
Alabama,8,-88.14955139160156,34.58373260498047,1,84,NA
Alabama,8,-88.10944366455078,34.89885711669922,1,85,NA
Alabama,8,-88.13236999511719,34.90459060668945,1,86,NA
Alabama,8,-88.166748046875,34.9504280090332,1,87,NA
Alabama,8,-88.18965911865234,34.99626541137695,1,88,NA
Alabama,8,-88.1839370727539,35.013450622558594,1,89,NA
Alabama,8,-87.98912811279297,35.013450622558594,1,90,NA
Alabama,8,-87.6052474975586,35.007720947265625,1,91,NA
Alabama,8,-87.22709655761719,35.001991271972656,1,92,NA
Alabama,8,-87.20417022705078,35.001991271972656,1,93,NA
Alabama,8,-86.8260269165039,34.99626541137695,1,94,NA
Alabama,8,-86.78018951416016,34.99053192138672,1,95,NA
Alabama,8,-86.31036376953125,34.99053192138672,1,96,NA
Alabama,8,-85.85199737548828,34.98480224609375,1,97,NA
Alabama,8,-85.6113510131836,34.97907257080078,1,98,NA
Alabama,8,-85.58843994140625,34.8415641784668,1,99,NA
Alabama,8,-85.5426025390625,34.61811065673828,1,100,NA
Alabama,8,-85.52540588378906,34.58373260498047,1,101,NA
Alabama,8,-85.4681167602539,34.262874603271484,1,102,NA
Alabama,8,-85.428009033203125,34.07952880859375,1,103,NA
Alabama,8,-85.40509033203125,33.95920944213867,1,104,NA
Alabama,8,-85.39363098144531,33.90764236450195,1,105,NA
Alabama,8,-85.34779357910156,33.66127014160156,1,106,NA
Alabama,8,-85.31341552734375,33.49510955810547,1,107,NA
Alabama,8,-85.29622650146484,33.432090759277344,1,108,NA
Alabama,8,-85.244659423828125,33.11696243286133,1,109,NA
Alabama,8,-85.23892974853516,33.105499267578125,1,110,NA
Alabama,8,-85.1930923461914,32.87059020996094,1,111,NA
Alabama,8,-85.1930923461914,32.859127044677734,1,112,NA
Alabama,8,-85.17018127441406,32.841941833496094,1,113,NA
Alabama,8,-85.14725494384766,32.790374755859375,1,114,NA
Alabama,8,-85.13007354736328,32.7674560546875,1,115,NA
Alabama,8,-85.13007354736328,32.750267028808594,1,116,NA
Alabama,8,-85.12434387207031,32.73308181762695,1,117,NA
Alabama,8,-85.1014175415039,32.67578125,1,118,NA
Alabama,8,-85.1014175415039,32.63567352294922,1,119,NA
Alabama,8,-85.0670394897461,32.60702896118164,1,120,NA
Alabama,8,-85.04985809326172,32.55546188354492,1,121,NA
Alabama,8,-85.00975036621094,32.526817321777344,1,122,NA
Alabama,8,-84.98683166503906,32.498165130615234,1,123,NA
Alabama,8,-84.99256134033203,32.46951675415039,1,124,NA
Alabama,8,-84.975372314453125,32.423683166503906,1,125,NA
Alabama,8,-84.98109436035156,32.377845764160156,1,126,NA
Alabama,8,-85.00402069091797,32.337738037109375,1,127,NA
Alabama,8,-84.975372314453125,32.30908966064453,1,128,NA
Alabama,8,-84.9238052368164,32.28044128417969,1,129,NA
Alabama,8,-84.90088653564453,32.251792907714844,1,130,NA
Alabama,8,-84.929534912109375,32.2346076965332,1,131,NA
Alabama,8,-84.95245361328125,32.22887420654297,1,132,NA
Alabama,8,-84.96964263916016,32.200225830078125,1,133,NA
Alabama,8,-84.99256134033203,32.18303680419922,1,134,NA
Alabama,8,-85.04985809326172,32.160118103027344,1,135,NA
Alabama,8,-85.061309814453125,32.12001419067383,1,136,NA
Alabama,8,-85.061309814453125,32.10282516479492,1,137,NA
Alabama,8,-85.061309814453125,32.085636138916016,1,138,NA
Alabama,8,-85.061309814453125,32.06271743774414,1,139,NA
Alabama,8,-85.061309814453125,32.028343200683594,1,140,NA
Alabama,8,-85.061309814453125,31.993961334228516,1,141,NA
Alabama,8,-85.07850646972656,31.959585189819336,1,142,NA
Alabama,8,-85.107147216796875,31.93666648864746,1,143,NA
Alabama,8,-85.14152526855469,31.8679141998291,1,144,NA
Alabama,8,-85.13580322265625,31.787696838378906,1,145,NA
Alabama,8,-85.13580322265625,31.7762393951416,1,146,NA
Alabama,8,-85.13007354736328,31.73040199279785,1,147,NA
Alabama,8,-85.11860656738281,31.6845645904541,1,148,NA
Alabama,8,-85.07850646972656,31.615812301635742,1,149,NA
Alabama,8,-85.061309814453125,31.558517456054687,1,150,NA
Alabama,8,-85.061309814453125,31.524137496948242,1,151,NA
Alabama,8,-85.08423614501953,31.478300094604492,1,152,NA
Alabama,8,-85.08423614501953,31.443923950195313,1,153,NA
Alabama,8,-85.09569549560547,31.409547805786133,1,154,NA
Alabama,8,-85.09569549560547,31.340791702270508,1,155,NA
Alabama,8,-85.1014175415039,31.300683975219727,1,156,NA
Alabama,8,-85.12434387207031,31.28349494934082,1,157,NA
Alabama,8,-85.12434387207031,31.254846572875977,1,158,NA
Alabama,8,-85.11287689208984,31.19182014465332,1,159,NA
Alabama,8,-85.11287689208984,31.174633026123047,1,160,NA
Alabama,8,-85.0899658203125,31.140256881713867,1,161,NA
Alabama,8,-85.04412841796875,31.11160659790039,1,162,NA
Alabama,8,-85.03839874267578,31.094419479370117,1,163,NA
Alabama,8,-85.03266906738281,31.07723045349121,1,164,NA
Alabama,8,-85.03266906738281,31.037124633789063,1,165,NA
Alabama,8,-85.0154800415039,31.002748489379883,1,166,NA
Alabama,8,-85.0154800415039,30.99701690673828,1,167,NA
Alabama,8,-85.49676513671875,31.008474349975586,1,168,NA
Alabama,8,-85.5196762084961,31.008474349975586,1,169,NA
Alabama,8,-86.04679870605469,31.008474349975586,1,170,NA
Alabama,8,-86.20149993896484,31.008474349975586,1,171,NA
Alabama,8,-86.39057159423828,31.008474349975586,1,172,NA
Alabama,8,-86.70569610595703,31.008474349975586,1,173,NA
Alabama,8,-86.79737091064453,31.008474349975586,1,174,NA
Alabama,8,-87.18125915527344,31.008474349975586,1,175,NA
Alabama,8,-87.6052474975586,31.008474349975586,1,176,NA
Alabama,8,-87.6052474975586,30.956911087036133,1,177,NA
Alabama,8,-87.61096954345703,30.933992385864258,1,178,NA
Alabama,8,-87.63389587402344,30.899616241455078,1,179,NA
Alabama,8,-87.6396255493164,30.876697540283203,1,180,NA
Alabama,8,-87.63389587402344,30.859508514404297,1,181,NA
Alabama,8,-87.61096954345703,30.842317581176758,1,182,NA
Alabama,8,-87.5479507446289,30.773563385009766,1,183,NA
Alabama,8,-87.49065399169922,30.721996307373047,1,184,NA
Alabama,8,-87.462005615234375,30.710538864135742,1,185,NA
Alabama,8,-87.45054626464844,30.699077606201172,1,186,NA
Alabama,8,-87.4218978881836,30.676158905029297,1,187,NA
Alabama,8,-87.41043853759766,30.647512435913086,1,188,NA
Alabama,8,-87.41043853759766,30.618864059448242,1,189,NA
Alabama,8,-87.43335723876953,30.584487915039063,1,190,NA
Alabama,8,-87.462005615234375,30.54438018798828,1,191,NA
Alabama,8,-87.46773529052734,30.527193069458008,1,192,NA
Alabama,8,-87.462005615234375,30.5100040435791,1,193,NA
Alabama,8,-87.44482421875,30.492813110351563,1,194,NA
Alabama,8,-87.39898681640625,30.458436965942383,1,195,NA
Alabama,8,-87.39325714111328,30.446979522705078,1,196,NA
Alabama,8,-87.40471649169922,30.429786682128906,1,197,NA
Alabama,8,-87.4218978881836,30.429786682128906,1,198,NA
Alabama,8,-87.43909454345703,30.424060821533203,1,199,NA
Alabama,8,-87.43909454345703,30.4183292388916,1,200,NA
Alabama,8,-87.45054626464844,30.401142120361328,1,201,NA
Alabama,8,-87.462005615234375,30.389680862426758,1,202,NA
Alaska,5,NA,NA,NA,NA,NA
Arizona,7,-114.63739013671875,35.01918029785156,2,204,NA
Arizona,7,-114.64312744140625,35.10512161254883,2,205,NA
Arizona,7,-114.60301971435547,35.122310638427734,2,206,NA
Arizona,7,-114.5743637084961,35.17961120605469,2,207,NA
Arizona,7,-114.58583068847656,35.23690414428711,2,208,NA
Arizona,7,-114.59728240966797,35.28274154663086,2,209,NA
Arizona,7,-114.6087417602539,35.35722732543945,2,210,NA
Arizona,7,-114.62593841552734,35.408790588378906,2,211,NA
Arizona,7,-114.66604614257812,35.454627990722656,2,212,NA
Arizona,7,-114.66030883789063,35.500465393066406,2,213,NA
Arizona,7,-114.66604614257812,35.54057312011719,2,214,NA
Arizona,7,-114.6717758178711,35.60932922363281,2,215,NA
Arizona,7,-114.68323516845703,35.666622161865234,2,216,NA
Arizona,7,-114.7004165649414,35.712459564208984,2,217,NA
Arizona,7,-114.7004165649414,35.79267501831055,2,218,NA
Arizona,7,-114.68895721435547,35.88434600830078,2,219,NA
Arizona,7,-114.71187591552734,35.912994384765625,2,220,NA
Arizona,7,-114.73480224609375,35.958831787109375,2,221,NA
Arizona,7,-114.73480224609375,36.01612854003906,2,222,NA
Arizona,7,-114.7577133178711,36.06196594238281,2,223,NA
Arizona,7,-114.73480224609375,36.10780334472656,2,224,NA
Arizona,7,-114.7004165649414,36.119258880615234,2,225,NA
Arizona,7,-114.64312744140625,36.14217758178711,2,226,NA
Arizona,7,-114.55718231201172,36.15363693237305,2,227,NA
Arizona,7,-114.4884262084961,36.13644790649414,2,228,NA
Arizona,7,-114.3967514038086,36.13644790649414,2,229,NA
Arizona,7,-114.32799530029297,36.113529205322266,2,230,NA
Arizona,7,-114.3108139038086,36.044776916503906,2,231,NA
Arizona,7,-114.26497650146484,36.027584075927734,2,232,NA
Arizona,7,-114.20194244384766,36.02185821533203,2,233,NA
Arizona,7,-114.13892364501953,36.03904724121094,2,234,NA
Arizona,7,-114.11600494384766,36.09634017944336,2,235,NA
Arizona,7,-114.08162689208984,36.13644790649414,2,236,NA
Arizona,7,-114.052978515625,36.210933685302734,2,237,NA
Arizona,7,-114.04724884033203,36.8411865234375,2,238,NA
Arizona,7,-114.04151916503906,36.99588394165039,2,239,NA
Arizona,7,-113.82379913330078,36.99588394165039,2,240,NA
Arizona,7,-113.53732299804687,37.00161361694336,2,241,NA
Arizona,7,-113.27948760986328,37.00161361694336,2,242,NA
Arizona,7,-113.00447082519531,37.00161361694336,2,243,NA
Arizona,7,-112.90706634521484,36.99588394165039,2,244,NA
Arizona,7,-112.72944641113281,37.00161361694336,2,245,NA
Arizona,7,-112.54037475585937,36.99588394165039,2,246,NA
Arizona,7,-112.41432189941406,36.99588394165039,2,247,NA
Arizona,7,-112.20805358886719,36.99588394165039,2,248,NA
Arizona,7,-111.95022583007812,37.00161361694336,2,249,NA
Arizona,7,-111.6866683959961,37.00161361694336,2,250,NA
Arizona,7,-111.4116439819336,37.00161361694336,2,251,NA
Arizona,7,-111.3199691772461,37.00161361694336,2,252,NA
Arizona,7,-111.25121307373047,36.99588394165039,2,253,NA
Arizona,7,-111.12516021728516,36.99588394165039,2,254,NA
Arizona,7,-110.84441375732422,37.00161361694336,2,255,NA
Arizona,7,-110.75846862792969,36.99588394165039,2,256,NA
Arizona,7,-110.68399047851562,36.99588394165039,2,257,NA
Arizona,7,-110.54647827148437,36.99588394165039,2,258,NA
Arizona,7,-110.30583190917969,37.00161361694336,2,259,NA
Arizona,7,-110.08810424804687,37.00161361694336,2,260,NA
Arizona,7,-110.00789642333984,37.00161361694336,2,261,NA
Arizona,7,-109.93341064453125,36.99588394165039,2,262,NA
Arizona,7,-109.71568298339844,36.99588394165039,2,263,NA
Arizona,7,-109.41202545166016,36.99588394165039,2,264,NA
Arizona,7,-109.1484603881836,36.99588394165039,2,265,NA
Arizona,7,-109.03959655761719,36.99588394165039,2,266,NA
Arizona,7,-109.04532623291016,35.998939514160156,2,267,NA
Arizona,7,-109.05106353759766,34.9504280090332,2,268,NA
Arizona,7,-109.05106353759766,34.57227325439453,2,269,NA
Arizona,7,-109.0567855834961,33.77586364746094,2,270,NA
Arizona,7,-109.05106353759766,33.202903747558594,2,271,NA
Arizona,7,-109.0567855834961,32.77891540527344,2,272,NA
